SOF_Num,Logger_Num,Current_Date,Download_Time,Set_Temp,Process_Temp,Set_Humidity,Process_Humidity,UserID,Current_Time,LoggerID
85,2,30:00.0,30:00.0,40,40.1,75,74.6,12,22:40.0,99345
85,2,30:00.0,30:00.0,40,40,75,74.8,12,22:40.0,99361
85,2,30:00.0,30:00.0,40,40,75,74.8,12,22:40.0,99377
85,2,00:00.0,00:00.0,40,40,75,74.7,12,22:40.0,99393
85,2,00:00.0,00:00.0,40,40,75,74.6,12,22:40.0,99403
85,2,30:00.0,30:00.0,40,40,75,75.2,12,22:40.0,99412
85,2,00:00.0,00:00.0,40,40,75,74.9,12,22:40.0,99417
85,2,00:00.0,00:00.0,40,40,75,75.2,12,22:40.0,99429
85,2,30:00.0,30:00.0,40,39.9,75,75.2,12,22:40.0,99432
85,2,18:00.0,18:00.0,40,40,75,75.5,12,22:40.0,99438
85,2,24:00.0,24:00.0,40,40.1,75,75.5,12,22:40.0,99441
85,2,06:00.0,06:00.0,40,39.9,75,74.9,14,13:15.0,99463
85,1,08:00.0,08:00.0,42,888.8,0,0,12,05:21.0,99493
85,1,30:00.0,30:00.0,25,25.1,60,60.2,14,14:25.0,99516
85,1,00:00.0,00:00.0,25,25.1,60,60.8,14,14:25.0,99529
85,1,00:00.0,00:00.0,25,25,60,59.6,14,14:25.0,99543
85,2,00:00.0,00:00.0,40,39.9,75,75.1,14,27:47.0,99558
85,2,00:00.0,00:00.0,40,40,75,75.2,14,27:47.0,99579
85,2,30:00.0,30:00.0,40,40.1,75,75,14,27:47.0,99600
85,2,30:00.0,30:00.0,40,40,75,75.3,14,27:47.0,99618
85,2,00:00.0,00:00.0,40,39.9,75,75.4,14,27:47.0,99637
85,1,00:00.0,00:00.0,25,24.9,60,59.9,12,09:26.0,99660
85,2,30:00.0,30:00.0,40,40,75,75.4,12,10:05.0,99676
85,2,00:00.0,00:00.0,40,40,75,75.2,12,10:05.0,99683
85,2,00:00.0,00:00.0,40,39.9,75,75.1,12,13:13.0,99689
85,2,30:00.0,30:00.0,40,39.8,75,75.4,12,13:13.0,99694
85,2,00:00.0,00:00.0,40,39.9,75,74.8,12,13:13.0,99701
85,2,00:00.0,00:00.0,40,39.9,75,75.1,14,52:11.0,99750
85,1,00:00.0,00:00.0,25,24.9,60,61.5,14,44:10.0,99728
85,2,00:00.0,00:00.0,40,40,75,75,14,52:11.0,99774
85,1,00:00.0,00:00.0,25,25,60,59.4,14,42:33.0,99790
85,1,00:00.0,00:00.0,25,25.1,60,60.3,14,42:33.0,99806
85,1,00:00.0,00:00.0,25,25.1,60,60.2,14,42:33.0,99819
85,1,00:00.0,00:00.0,25,25.1,60,60.7,14,42:33.0,99831
85,1,30:00.0,30:00.0,25,25.1,60,60.4,14,42:33.0,99844
85,1,00:00.0,00:00.0,25,25.1,60,59.8,14,42:33.0,99855
85,2,30:00.0,30:00.0,40,39.9,75,75.1,14,51:22.0,99886
85,2,30:00.0,30:00.0,40,40,75,75.1,14,51:22.0,99896
85,2,00:00.0,00:00.0,40,40,75,75,14,51:22.0,99912
85,2,30:00.0,30:00.0,40,40,75,74.6,14,51:22.0,99923
